line_id,is_hallucination
0,1
1,0
2,1
3,1
4,1
5,0
6,0
7,1
8,1
9,1
10,0
11,0
12,0
13,1
14,1
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,1
24,1
25,0
26,1
27,1
28,1
29,0
30,1
31,0
32,1
33,1
34,1
35,0
36,1
37,0
38,1
39,1
40,1
41,1
42,1
43,0
44,0
45,1
46,1
47,1
48,1
49,0
50,0
51,0
52,0
53,1
54,1
55,0
56,0
57,0
58,0
59,0
60,1
61,0
62,0
63,1
64,0
65,1
66,0
67,0
68,0
69,0
70,1
71,1
72,1
73,0
74,0
75,0
76,1
77,0
78,1
79,0
80,0
81,0
82,1
83,1
84,0
85,0
86,0
87,0
88,1
89,1
90,1
91,1
92,0
93,1
94,0
95,1
96,1
97,0
98,0
99,0
100,1
101,0
102,0
103,0
104,0
105,1
106,1
107,1
108,0
109,0
110,0
111,0
112,0
113,0
114,1
115,1
116,1
117,1
118,1
119,0
120,0
121,0
122,1
123,1
124,0
125,1
126,1
127,1
128,0
129,1
130,1
131,1
132,0
133,0
134,0
135,0
136,1
137,0
138,1
139,0
140,0
141,0
142,1
143,1
144,1
145,0
146,0
147,1
148,1
149,0
150,0
151,0
152,1
153,1
154,1
155,0
156,0
157,0
158,0
159,0
160,1
161,0
162,0
163,1
164,0
165,0
166,0
167,1
168,0
169,1
170,0
171,0
172,0
173,0
174,0
175,1
176,1
177,0
178,0
179,1
180,1
181,1
182,1
183,1
184,0
185,1
186,1
187,0
188,0
189,1
190,1
191,0
192,1
193,1
194,1
195,1
196,1
197,1
198,0
199,1
200,0
201,1
202,1
203,1
204,1
205,0
206,0
207,1
208,0
209,0
210,1
211,0
212,1
213,1
214,0
215,0
216,1
217,1
218,0
219,1
220,1
221,0
222,1
223,0
224,0
225,1
226,0
227,1
228,1
229,1
230,1
231,1
232,1
233,0
234,0
235,0
236,0
237,1
238,0
239,0
240,1
241,1
242,0
243,1
244,1
245,0
246,1
247,0
248,1
249,0
250,0
251,1
252,1
253,0
254,0
255,0
256,0
257,0
258,0
259,1
260,0
261,0
262,1
263,1
264,0
265,0
266,0
267,0
268,1
269,1
270,1
271,0
272,0
273,1
274,0
275,1
276,0
277,0
278,0
279,1
280,1
281,0
282,1
283,1
284,1
285,1
286,1
287,0
288,0
289,1
290,0
291,1
292,1
293,0
294,0
295,1
296,0
297,1
298,1
299,0
300,0
301,1
302,1
303,1
304,0
305,0
306,0
307,0
308,1
309,0
310,1
311,1
312,1
313,0
314,0
315,0
316,1
317,0
318,1
319,0
320,1
321,1
322,0
323,0
324,0
325,0
326,1
327,0
328,0
329,0
330,0
331,0
332,1
333,0
334,1
335,1
336,1
337,1
338,0
339,0
340,1
341,0
342,1
343,0
344,1
345,0
346,1
347,0
348,1
349,1
350,0
351,0
352,1
353,1
354,1
355,0
356,0
357,1
358,0
359,1
360,0
361,0
362,0
363,1
364,1
365,1
366,0
367,1
368,1
369,0
370,1
371,0
372,0
373,0
374,0
375,0
376,0
377,1
378,1
379,1
380,1
381,0
382,0
383,1
384,0
385,1
386,1
387,0
388,1
389,0
390,1
391,1
392,0
393,0
394,1
395,1
396,1
397,0
398,1
399,1
400,1
401,0
402,1
403,1
404,1
405,0
406,1
407,1
408,1
409,1
410,1
411,0
412,0
413,0
414,1
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,1
423,1
424,0
425,1
426,1
427,0
428,1
429,0
430,0
431,0
432,0
433,1
434,0
435,0
436,0
437,1
438,0
439,0
440,0
441,0
442,1
443,0
444,0
445,1
446,1
447,1
448,1
449,0
450,0
451,0
452,0
453,0
454,1
455,0
456,1
457,1
458,1
459,0
460,1
461,0
462,0
463,1
464,0
465,1
466,1
467,1
468,0
469,1
470,0
471,1
472,1
473,0
474,1
475,1
476,0
477,1
478,1
479,1
480,0
481,1
482,1
483,0
484,0
485,1
486,0
487,1
488,1
489,1
490,0
491,0
492,1
493,1
494,1
495,0
496,1
497,0
498,1
499,1
500,0
501,1
502,1
503,1
504,0
505,1
506,1
507,0
508,0
509,0
510,0
511,1
512,0
513,1
514,0
515,1
516,1
517,1
518,0
519,1
520,1
521,0
522,1
523,1
524,0
525,1
526,0
527,1
528,1
529,1
530,1
531,1
532,0
533,0
534,1
535,1
536,1
537,1
538,1
539,0
540,0
541,0
542,1
543,0
544,1
545,1
546,0
547,0
548,0
549,1
550,1
551,1
552,1
553,0
554,1
555,1
556,0
557,0
558,1
559,0
560,1
561,0
562,0
563,0
564,0
565,0
566,1
567,1
568,1
569,1
570,1
571,1
572,0
573,0
574,1
575,1
576,0
577,1
578,1
579,0
580,1
581,1
582,0
583,1
584,1
585,0
586,0
587,0
588,0
589,1
590,1
591,0
592,1
593,0
594,1
595,0
596,0
597,1
598,1
599,0
600,0
601,0
602,1
603,0
604,0
605,1
606,1
607,1
608,0
609,1
610,0
611,1
612,1
613,1
614,0
615,1
616,0
617,1
618,0
619,1
620,0
621,1
622,1
623,1
624,1
625,0
626,1
627,0
628,1
629,0
630,0
631,1
632,0
633,0
634,1
635,0
636,0
637,0
638,1
639,1
640,1
641,0
642,1
643,1
644,1
645,1
646,0
647,0
648,0
649,1
650,1
651,0
652,0
653,1
654,0
655,0
656,0
657,1
658,0
659,1
660,1
661,1
662,0
663,1
664,1
665,1
666,0
667,1
668,0
669,1
670,1
671,1
672,1
673,0
674,0
675,0
676,1
677,0
678,0
679,0
680,0
681,0
682,1
683,0
684,1
685,1
686,1
687,1
688,0
689,1
690,1
691,0
692,1
693,0
694,0
695,0
696,1
697,1
698,1
699,0
700,1
701,0
702,0
703,1
704,1
705,0
706,0
707,1
708,1
709,1
710,0
711,1
712,0
713,0
714,0
715,1
716,0
717,1
718,1
719,1
720,0
721,1
722,1
723,1
724,0
725,0
726,0
727,1
728,0
729,0
730,0
731,1
732,0
733,1
734,0
735,0
736,1
737,0
738,0
739,1
740,1
741,0
742,1
743,0
744,0
745,0
746,0
747,1
748,0
749,1
750,0
751,1
752,0
753,0
754,1
755,1
756,0
757,1
758,1
759,0
760,1
761,1
762,1
763,0
764,1
765,0
766,0
767,1
768,1
769,1
770,0
771,0
772,1
773,1
774,1
775,1
776,1
777,0
778,1
779,1
780,0
781,0
782,1
783,1
784,1
785,0
786,0
787,0
788,1
789,1
790,1
791,0
792,0
793,0
794,1
795,1
796,0
797,1
798,0
799,1
800,1
801,0
802,1
803,1
804,0
805,1
806,0
807,1
808,0
809,1
810,0
811,0
812,0
813,0
814,0
815,1
816,1
817,0
818,1
819,0
820,0
821,0
822,1
823,0
824,1
825,0
826,1
827,0
828,1
829,1
830,0
831,0
832,0
833,1
834,1
835,1
836,0
837,1
838,0
839,0
840,0
841,1
842,0
843,0
844,1
845,1
846,1
847,0
848,0
849,0
850,0
851,1
852,1
853,0
854,1
855,0
856,1
857,0
858,0
859,0
860,1
861,0
862,1
863,1
864,1
865,0
866,1
867,0
868,1
869,0
870,1
871,0
872,0
873,1
874,1
875,1
876,1
877,0
878,1
879,0
880,1
881,0
882,1
883,0
884,0
885,1
886,0
887,0
888,0
889,0
890,1
891,1
892,0
893,1
894,1
895,0
896,1
897,1
898,1
899,1
900,1
901,1
902,1
903,1
904,0
905,1
906,1
907,0
908,0
909,1
910,1
911,0
912,0
913,0
914,1
915,0
916,0
917,0
918,0
919,1
920,1
921,1
922,0
923,1
924,0
925,1
926,1
927,0
928,0
929,0
930,0
931,1
932,0
933,0
934,1
935,1
936,0
937,1
938,1
939,1
940,1
941,0
942,1
943,1
944,1
945,0
946,1
947,0
948,0
949,0
950,1
951,0
952,1
953,1
954,1
955,1
956,0
957,0
958,0
959,0
960,1
961,0
962,0
963,1
964,0
965,1
966,1
967,0
968,0
969,0
970,1
971,0
972,0
973,0
974,0
975,1
976,1
977,1
978,1
979,1
980,0
981,1
982,0
983,0
984,0
985,0
986,1
987,1
988,1
989,1
990,0
991,0
992,1
993,1
994,0
995,0
996,0
997,0
998,1
999,0
1000,1
1001,0
1002,1
1003,1
1004,0
1005,0
1006,1
1007,1
1008,0
1009,0
1010,1
1011,0
1012,0
1013,0
1014,0
1015,0
1016,1
1017,0
1018,1
1019,1
1020,1
1021,1
1022,1
1023,1
1024,1
1025,0
1026,0
1027,1
1028,1
1029,1
1030,0
1031,1
1032,1
1033,1
1034,0
1035,1
1036,0
1037,1
1038,1
1039,0
1040,0
1041,0
1042,0
1043,0
1044,1
1045,0
1046,1
1047,1
1048,1
1049,0
